model,operator,count,preferred_device
MobileNetV2_fp16,const,439,None
MobileNetV2_fp16,ios16.add,10,ANE
MobileNetV2_fp16,ios16.clip,35,ANE
MobileNetV2_fp16,ios16.conv,52,ANE
MobileNetV2_fp16,ios16.linear,1,ANE
MobileNetV2_fp16,ios16.reduce_mean,1,ANE
MobileNetV2_fp16,ios16.reshape,1,ANE
ResNet50_fp16,const,381,None
ResNet50_fp16,ios16.add,16,ANE
ResNet50_fp16,ios16.conv,53,ANE
ResNet50_fp16,ios16.linear,1,ANE
ResNet50_fp16,ios16.max_pool,1,ANE
ResNet50_fp16,ios16.reduce_mean,1,ANE
ResNet50_fp16,ios16.relu,49,ANE
ResNet50_fp16,ios16.reshape,1,ANE
SimpleMLP_fp16,const,6,None
SimpleMLP_fp16,ios16.linear,3,CPU
SimpleMLP_fp16,ios16.relu,2,CPU
DistilBERT_fp16,const,54,None
DistilBERT_fp16,ios16.add,5,ANE
DistilBERT_fp16,ios16.gather,1,CPU
DistilBERT_fp16,ios16.gelu,2,ANE
DistilBERT_fp16,ios16.layer_norm,5,ANE
DistilBERT_fp16,ios16.linear,12,ANE
DistilBERT_fp16,ios16.matmul,4,ANE
DistilBERT_fp16,ios16.mul,2,ANE
DistilBERT_fp16,ios16.reshape,8,ANE
DistilBERT_fp16,ios16.softmax,2,ANE
DistilBERT_fp16,transpose,8,ANE
TinyGPT_fp16,const,68,None
TinyGPT_fp16,ios16.add,5,GPU
TinyGPT_fp16,ios16.gather,1,GPU
TinyGPT_fp16,ios16.gelu,2,GPU
TinyGPT_fp16,ios16.layer_norm,5,GPU
TinyGPT_fp16,ios16.linear,12,GPU
TinyGPT_fp16,ios16.matmul,4,GPU
TinyGPT_fp16,ios16.mul,2,GPU
TinyGPT_fp16,ios16.reshape,8,GPU
TinyGPT_fp16,ios16.softmax,2,GPU
TinyGPT_fp16,select,2,GPU
TinyGPT_fp16,transpose,8,GPU
