model_clean,precision,compute_clean,mean_ms,median_ms
MobileNetV2,FP16,All,0.48175996,0.470041
MobileNetV2,FP16,CPU,2.14067502,2.137292
MobileNetV2,FP16,CPU+GPU,1.8301933800000003,1.89375
MobileNetV2,FP16,CPU+ANE,0.4957999999999998,0.492125
MobileNetV2,FP32,All,1.5252183400000003,1.501625
MobileNetV2,FP32,CPU,3.3864299600000005,3.3905
MobileNetV2,FP32,CPU+GPU,1.5128091999999995,1.509458
MobileNetV2,FP32,CPU+ANE,4.139451640000001,4.145833
ResNet50,FP16,All,1.3258833199999998,1.318042
ResNet50,FP16,CPU,5.682415040000002,5.648583
ResNet50,FP16,CPU+GPU,4.668385820000001,4.662208
ResNet50,FP16,CPU+ANE,1.31878496,1.314917
ResNet50,FP32,All,4.97812998,4.975208
ResNet50,FP32,CPU,9.854612539999998,9.848166
ResNet50,FP32,CPU+GPU,5.037108379999999,4.991625
ResNet50,FP32,CPU+ANE,13.017902619999996,13.072667
SimpleMLP,FP16,All,0.2350432999999999,0.235625
SimpleMLP,FP16,CPU,0.1865508399999999,0.185209
SimpleMLP,FP16,CPU+GPU,0.19834754,0.197042
SimpleMLP,FP16,CPU+ANE,0.20879494,0.20775
SimpleMLP,FP32,All,0.4964733599999998,0.484875
SimpleMLP,FP32,CPU,0.5827541799999999,0.584042
SimpleMLP,FP32,CPU+GPU,0.4779432600000001,0.475625
SimpleMLP,FP32,CPU+ANE,0.4871184000000001,0.48
DistilBERT,FP16,All,0.2621566799999999,0.254916
DistilBERT,FP16,CPU,0.24004004,0.2365
DistilBERT,FP16,CPU+GPU,0.9905565999999998,0.921959
DistilBERT,FP16,CPU+ANE,0.25397502,0.250583
DistilBERT,FP32,All,0.9504290800000004,0.713
DistilBERT,FP32,CPU,0.3105200399999999,0.309459
DistilBERT,FP32,CPU+GPU,0.8593082399999997,0.711125
DistilBERT,FP32,CPU+ANE,0.6105148799999999,0.609917
TinyGPT,FP16,All,1.04613754,1.112792
TinyGPT,FP16,CPU,0.18303422,0.177875
TinyGPT,FP16,CPU+GPU,0.80746578,0.686666
TinyGPT,FP16,CPU+ANE,0.5833706999999999,0.562208
TinyGPT,FP32,All,0.96358412,1.055125
TinyGPT,FP32,CPU,0.22640822,0.22675
TinyGPT,FP32,CPU+GPU,1.14032162,1.109667
TinyGPT,FP32,CPU+ANE,0.6956700199999999,0.695208
